Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster,DBSCAN_Cluster,Persona
12433.0,2,6,7052.99,5,4,5,545,Champions,1,0,Loyal Customers
12434.0,17,1,297.29,4,1,2,412,Promising Customers,1,0,Loyal Customers
12435.0,32,4,6096.04,4,3,5,435,Potential Loyalists,1,0,Loyal Customers
12437.0,29,28,7498.19,4,5,5,455,Champions,1,0,Loyal Customers
12439.0,318,3,1089.18,1,3,4,134,At Risk,0,0,VIP Customers
12440.0,93,3,768.15,2,3,3,233,At Risk,1,0,Loyal Customers
12441.0,2,1,173.55,5,1,1,511,New Customers,1,0,Loyal Customers
12443.0,368,1,485.31,1,1,2,112,Lost Customers,0,0,VIP Customers
12445.0,36,2,293.08000000000004,3,2,2,322,Promising Customers,1,0,Loyal Customers
12449.0,46,2,768.6,3,2,3,323,Promising Customers,1,0,Loyal Customers
12450.0,35,5,469.07,3,4,2,342,Loyal Customers,1,0,Loyal Customers
12451.0,99,4,3613.01,2,3,5,235,At Risk,1,0,Loyal Customers
12454.0,31,7,4292.71,4,4,5,445,Champions,1,0,Loyal Customers
12455.0,81,4,3413.09,2,3,5,235,At Risk,1,0,Loyal Customers
12457.0,53,2,554.53,3,2,3,323,Promising Customers,1,0,Loyal Customers
12458.0,63,2,830.09,3,2,3,323,Promising Customers,1,0,Loyal Customers
12459.0,241,1,454.36,1,1,2,112,Lost Customers,0,0,VIP Customers
12460.0,92,1,326.65,2,1,2,212,Lost Customers,1,0,Loyal Customers
12466.0,318,1,56.73,1,1,1,111,Lost Customers,0,0,VIP Customers
12468.0,66,7,2900.51,3,4,5,345,Loyal Customers,1,0,Loyal Customers
12469.0,158,2,3070.54,2,2,5,225,Cannot Lose Them,0,0,VIP Customers
12470.0,325,1,211.95,1,1,1,111,Lost Customers,0,0,VIP Customers
12471.0,8,81,19197.49,5,5,5,555,Champions,3,-1,Churn Risk
12472.0,5,26,10727.21,5,5,5,555,Champions,1,0,Loyal Customers
12474.0,4,25,4849.98,5,5,5,555,Champions,1,0,Loyal Customers
12475.0,45,1,426.26,3,1,2,312,Promising Customers,1,0,Loyal Customers
12476.0,10,18,7137.54,5,5,5,555,Champions,1,0,Loyal Customers
12477.0,35,3,7056.63,3,3,5,335,Lost Customers,1,0,Loyal Customers
12480.0,35,4,2153.4700000000003,3,3,5,335,Lost Customers,1,0,Loyal Customers
12481.0,1,8,6626.17,5,5,5,555,Champions,1,0,Loyal Customers
12482.0,85,32,21893.53,2,5,5,255,At Risk,3,-1,Churn Risk
12483.0,14,14,2496.34,5,5,5,555,Champions,1,0,Loyal Customers
12484.0,113,8,1806.93,2,5,4,254,At Risk,1,0,Loyal Customers
12485.0,165,1,708.1,2,1,3,213,Lost Customers,0,0,VIP Customers
12486.0,67,1,1037.28,3,1,4,314,Promising Customers,1,0,Loyal Customers
12487.0,366,2,259.79999999999995,1,2,2,122,Lost Customers,0,0,VIP Customers
12490.0,14,12,4400.71,5,5,5,555,Champions,1,0,Loyal Customers
12492.0,39,1,452.0,3,1,2,312,Promising Customers,1,0,Loyal Customers
12494.0,1,5,604.17,5,4,3,543,Loyal Customers,1,0,Loyal Customers
12495.0,270,2,323.4,1,2,2,122,Lost Customers,0,0,VIP Customers
12496.0,256,2,45.34,1,2,1,121,Lost Customers,0,0,VIP Customers
12497.0,36,3,5168.650000000001,3,3,5,335,Lost Customers,1,0,Loyal Customers
12499.0,196,1,393.72,1,1,2,112,Lost Customers,0,0,VIP Customers
12500.0,71,12,1666.04,2,5,4,254,At Risk,1,0,Loyal Customers
12503.0,220,1,1126.0,1,1,4,114,Cannot Lose Them,0,0,VIP Customers
12504.0,53,2,297.0,3,2,2,322,Promising Customers,1,0,Loyal Customers
12505.0,29,2,912.5,4,2,3,423,Potential Loyalists,1,0,Loyal Customers
12507.0,220,1,539.25,1,1,3,113,Lost Customers,0,0,VIP Customers
12510.0,95,14,2706.76,2,5,5,255,At Risk,1,0,Loyal Customers
12511.0,50,2,3065.77,3,2,5,325,Promising Customers,1,0,Loyal Customers
12514.0,277,1,580.08,1,1,3,113,Lost Customers,0,0,VIP Customers
12516.0,66,2,1336.56,3,2,4,324,Promising Customers,1,0,Loyal Customers
12519.0,100,2,354.35,2,2,2,222,Lost Customers,1,0,Loyal Customers
12523.0,10,17,2455.48,5,5,5,555,Champions,1,0,Loyal Customers
12524.0,24,10,6605.64,4,5,5,455,Champions,1,0,Loyal Customers
12525.0,127,8,835.1800000000001,2,5,3,253,At Risk,1,0,Loyal Customers
12527.0,130,2,386.8,2,2,2,222,Lost Customers,1,0,Loyal Customers
12529.0,158,2,311.78000000000003,2,2,2,222,Lost Customers,0,0,VIP Customers
12530.0,45,7,2066.23,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12531.0,316,2,1773.83,1,2,4,124,Cannot Lose Them,0,0,VIP Customers
12533.0,254,6,1149.99,1,4,4,144,At Risk,0,0,VIP Customers
12537.0,44,1,732.94,3,1,3,313,Promising Customers,1,0,Loyal Customers
12538.0,14,1,276.5,5,1,2,512,New Customers,1,0,Loyal Customers
12539.0,86,3,5646.400000000001,2,3,5,235,At Risk,1,0,Loyal Customers
12540.0,14,17,8798.25,5,5,5,555,Champions,1,0,Loyal Customers
12542.0,120,4,423.38,2,3,2,232,At Risk,1,0,Loyal Customers
12543.0,84,1,980.25,2,1,4,214,Cannot Lose Them,1,0,Loyal Customers
12547.0,136,1,175.78,2,1,1,211,Lost Customers,1,0,Loyal Customers
12549.0,211,6,1575.68,1,4,4,144,At Risk,0,0,VIP Customers
12553.0,21,3,896.57,4,3,3,433,Potential Loyalists,1,0,Loyal Customers
12554.0,84,1,468.5,2,1,2,212,Lost Customers,1,0,Loyal Customers
12555.0,318,1,129.23,1,1,1,111,Lost Customers,0,0,VIP Customers
12557.0,7,4,6725.18,5,3,5,535,Potential Loyalists,1,0,Loyal Customers
12562.0,21,2,1185.18,4,2,4,424,Potential Loyalists,1,0,Loyal Customers
12563.0,44,1,249.24,3,1,2,312,Promising Customers,1,0,Loyal Customers
12567.0,3,8,4278.88,5,5,5,555,Champions,1,0,Loyal Customers
12568.0,280,1,70.0,1,1,1,111,Lost Customers,0,0,VIP Customers
12570.0,318,1,77.52,1,1,1,111,Lost Customers,0,0,VIP Customers
12573.0,17,4,556.87,4,3,3,433,Potential Loyalists,1,0,Loyal Customers
12575.0,93,2,622.8199999999999,2,2,3,223,Lost Customers,1,0,Loyal Customers
12576.0,28,5,776.89,4,4,3,443,Loyal Customers,1,0,Loyal Customers
12577.0,17,5,990.5,4,4,4,444,Champions,1,0,Loyal Customers
12578.0,21,3,1819.09,4,3,4,434,Potential Loyalists,1,0,Loyal Customers
12580.0,212,1,637.2,1,1,3,113,Lost Customers,0,0,VIP Customers
12582.0,58,2,1469.04,3,2,4,324,Promising Customers,1,0,Loyal Customers
12583.0,9,14,7157.56,5,5,5,555,Champions,1,0,Loyal Customers
12586.0,4,4,1848.73,5,3,4,534,Potential Loyalists,1,0,Loyal Customers
12588.0,35,4,724.08,3,3,3,333,Lost Customers,1,0,Loyal Customers
12589.0,50,9,2447.49,3,5,5,355,Loyal Customers,1,0,Loyal Customers
12591.0,26,2,886.1,4,2,3,423,Potential Loyalists,1,0,Loyal Customers
12592.0,155,6,715.02,2,4,3,243,At Risk,0,0,VIP Customers
12594.0,14,6,1724.29,5,4,4,544,Champions,1,0,Loyal Customers
12595.0,140,1,299.02,2,1,2,212,Lost Customers,0,0,VIP Customers
12598.0,71,6,1411.99,2,4,4,244,At Risk,1,0,Loyal Customers
12599.0,17,6,1264.14,4,4,4,444,Champions,1,0,Loyal Customers
12600.0,7,16,2374.75,5,5,5,555,Champions,1,0,Loyal Customers
12601.0,40,1,104.2,3,1,1,311,Promising Customers,1,0,Loyal Customers
12605.0,1,5,1225.45,5,4,4,544,Champions,1,0,Loyal Customers
12606.0,318,1,21.0,1,1,1,111,Lost Customers,0,0,VIP Customers
12608.0,40,1,415.79,3,1,2,312,Promising Customers,1,0,Loyal Customers
12609.0,10,7,2291.01,5,4,5,545,Champions,1,0,Loyal Customers
12613.0,24,7,3354.84,4,4,5,445,Champions,1,0,Loyal Customers
12615.0,49,7,3273.69,3,4,5,345,Loyal Customers,1,0,Loyal Customers
12616.0,18,2,388.1,4,2,2,422,Potential Loyalists,1,0,Loyal Customers
12619.0,196,1,140.14,1,1,1,111,Lost Customers,0,0,VIP Customers
12621.0,1,22,10967.24,5,5,5,555,Champions,1,0,Loyal Customers
12623.0,52,8,3334.74,3,5,5,355,Loyal Customers,1,0,Loyal Customers
12625.0,145,2,2481.06,2,2,5,225,Cannot Lose Them,0,0,VIP Customers
12629.0,21,2,1558.22,4,2,4,424,Potential Loyalists,1,0,Loyal Customers
12631.0,67,6,2811.77,3,4,5,345,Loyal Customers,1,0,Loyal Customers
12632.0,156,4,738.88,2,3,3,233,At Risk,0,0,VIP Customers
12633.0,18,5,3454.58,4,4,5,445,Champions,1,0,Loyal Customers
12634.0,171,2,490.0,1,2,2,122,Lost Customers,0,0,VIP Customers
12635.0,28,2,1241.23,4,2,4,424,Potential Loyalists,1,0,Loyal Customers
12636.0,374,1,141.0,1,1,1,111,Lost Customers,0,0,VIP Customers
12637.0,14,4,2280.91,5,3,5,535,Potential Loyalists,1,0,Loyal Customers
12638.0,275,1,249.8,1,1,2,112,Lost Customers,0,0,VIP Customers
12639.0,70,2,826.27,2,2,3,223,Lost Customers,1,0,Loyal Customers
12643.0,21,8,4490.66,4,5,5,455,Champions,1,0,Loyal Customers
12644.0,66,5,1337.63,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12645.0,45,5,1743.72,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12647.0,3,35,14012.87,5,5,5,555,Champions,3,0,Churn Risk
12648.0,70,4,778.95,2,3,3,233,At Risk,1,0,Loyal Customers
12649.0,1,7,1634.99,5,4,4,544,Champions,1,0,Loyal Customers
12651.0,14,4,251.3,5,3,2,532,Potential Loyalists,1,0,Loyal Customers
12652.0,70,1,97.05,2,1,1,211,Lost Customers,1,0,Loyal Customers
12653.0,162,1,1950.98,2,1,4,214,Cannot Lose Them,0,0,VIP Customers
12655.0,59,1,261.35,3,1,2,312,Promising Customers,1,0,Loyal Customers
12656.0,61,4,2338.06,3,3,5,335,Lost Customers,1,0,Loyal Customers
12661.0,72,1,162.0,2,1,1,211,Lost Customers,1,0,Loyal Customers
12662.0,9,11,3132.09,5,5,5,555,Champions,1,0,Loyal Customers
12663.0,260,3,204.0,1,3,1,131,At Risk,0,0,VIP Customers
12664.0,150,2,1188.16,2,2,4,224,Cannot Lose Them,0,0,VIP Customers
12665.0,53,3,239.7,3,3,1,331,Lost Customers,1,0,Loyal Customers
12666.0,30,1,1248.42,4,1,4,414,Promising Customers,1,0,Loyal Customers
12668.0,14,6,7575.88,5,4,5,545,Champions,1,0,Loyal Customers
12670.0,21,2,764.24,4,2,3,423,Potential Loyalists,1,0,Loyal Customers
12671.0,242,1,2622.481,1,1,5,115,Cannot Lose Them,0,0,VIP Customers
12672.0,225,2,184.6,1,2,1,121,Lost Customers,0,0,VIP Customers
12673.0,37,1,619.5,3,1,3,313,Promising Customers,1,0,Loyal Customers
12675.0,189,4,933.55,1,3,3,133,At Risk,0,0,VIP Customers
12676.0,44,6,1441.7,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12677.0,191,3,389.3,1,3,2,132,At Risk,0,0,VIP Customers
12678.0,11,10,16262.87,5,5,5,555,Champions,1,0,Loyal Customers
12681.0,3,30,16874.17,5,5,5,555,Champions,1,0,Loyal Customers
12682.0,1,24,11657.59,5,5,5,555,Champions,1,0,Loyal Customers
12683.0,1,9,4197.51,5,5,5,555,Champions,1,0,Loyal Customers
12686.0,7,1,89.14,5,1,1,511,New Customers,1,0,Loyal Customers
12687.0,116,2,2138.91,2,2,5,225,Cannot Lose Them,1,0,Loyal Customers
12691.0,56,1,134.6,3,1,1,311,Promising Customers,1,0,Loyal Customers
12692.0,273,1,110.95,1,1,1,111,Lost Customers,0,0,VIP Customers
12693.0,32,5,809.46,4,4,3,443,Loyal Customers,1,0,Loyal Customers
12694.0,51,2,969.78,3,2,4,324,Promising Customers,1,0,Loyal Customers
12695.0,164,3,825.02,2,3,3,233,At Risk,0,0,VIP Customers
12696.0,70,3,801.15,2,3,3,233,At Risk,1,0,Loyal Customers
12698.0,226,1,339.75,1,1,2,112,Lost Customers,0,0,VIP Customers
12699.0,53,1,638.11,3,1,3,313,Promising Customers,1,0,Loyal Customers
12701.0,165,4,1648.7,2,3,4,234,At Risk,0,0,VIP Customers
12703.0,269,5,617.48,1,4,3,143,At Risk,0,0,VIP Customers
12705.0,10,8,4739.76,5,5,5,555,Champions,1,0,Loyal Customers
12708.0,4,15,2501.84,5,5,5,555,Champions,1,0,Loyal Customers
12709.0,2,30,20769.63,5,5,5,555,Champions,3,0,Churn Risk
12711.0,247,2,1339.05,1,2,4,124,Cannot Lose Them,0,0,VIP Customers
12712.0,1,14,2738.03,5,5,5,555,Champions,1,0,Loyal Customers
12714.0,24,7,9384.85,4,4,5,445,Champions,1,0,Loyal Customers
12717.0,226,1,277.93,1,1,2,112,Lost Customers,0,0,VIP Customers
12720.0,5,13,2334.6,5,5,5,555,Champions,1,0,Loyal Customers
12721.0,1,4,1277.7,5,3,4,534,Potential Loyalists,1,0,Loyal Customers
12724.0,19,3,1286.11,4,3,4,434,Potential Loyalists,1,0,Loyal Customers
12725.0,7,4,2266.76,5,3,5,535,Potential Loyalists,1,0,Loyal Customers
12726.0,23,4,1405.5,4,3,4,434,Potential Loyalists,1,0,Loyal Customers
12727.0,78,3,1698.8300000000002,2,3,4,234,At Risk,1,0,Loyal Customers
12728.0,19,1,233.84,4,1,1,411,Promising Customers,1,0,Loyal Customers
12730.0,157,1,829.25,2,1,3,213,Lost Customers,0,0,VIP Customers
12731.0,78,5,6879.8,2,4,5,245,At Risk,1,0,Loyal Customers
12733.0,25,5,1942.87,4,4,4,444,Champions,1,0,Loyal Customers
12734.0,10,2,529.25,5,2,3,523,Potential Loyalists,1,0,Loyal Customers
12737.0,134,2,3710.5,2,2,5,225,Cannot Lose Them,1,0,Loyal Customers
12738.0,8,1,155.35,5,1,1,511,New Customers,1,0,Loyal Customers
12739.0,21,2,1713.69,4,2,4,424,Potential Loyalists,1,0,Loyal Customers
12741.0,165,2,406.07,2,2,2,222,Lost Customers,0,0,VIP Customers
12742.0,235,2,1185.02,1,2,4,124,Cannot Lose Them,0,0,VIP Customers
12744.0,95,4,4037.77,2,3,5,235,At Risk,1,0,Loyal Customers
12745.0,122,3,925.41,2,3,3,233,At Risk,1,0,Loyal Customers
12746.0,163,3,230.85,2,3,1,231,At Risk,0,0,VIP Customers
12747.0,5,22,4949.08,5,5,5,555,Champions,1,0,Loyal Customers
12748.0,1,159,20491.27,5,5,5,555,Champions,3,-1,Churn Risk
12749.0,21,8,2460.29,4,5,5,455,Champions,1,0,Loyal Customers
12751.0,80,1,268.27,2,1,2,212,Lost Customers,1,0,Loyal Customers
12755.0,1,19,4203.15,5,5,5,555,Champions,1,0,Loyal Customers
12758.0,95,6,6987.41,2,4,5,245,At Risk,1,0,Loyal Customers
12759.0,22,5,3489.3,4,4,5,445,Champions,1,0,Loyal Customers
12760.0,91,1,347.8,2,1,2,212,Lost Customers,1,0,Loyal Customers
12761.0,93,2,782.95,2,2,3,223,Lost Customers,1,0,Loyal Customers
12763.0,5,1,320.08,5,1,2,512,New Customers,1,0,Loyal Customers
12765.0,108,6,1404.58,2,4,4,244,At Risk,1,0,Loyal Customers
12766.0,2,5,3036.8,5,4,5,545,Champions,1,0,Loyal Customers
12767.0,11,1,949.82,5,1,3,513,New Customers,1,0,Loyal Customers
12768.0,67,2,3.552713678800501e-15,3,2,1,321,Promising Customers,1,0,Loyal Customers
12770.0,35,6,1624.5,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12771.0,100,2,262.5,2,2,2,222,Lost Customers,1,0,Loyal Customers
12773.0,200,2,1.7763568394002505e-15,1,2,1,121,Lost Customers,0,0,VIP Customers
12774.0,171,1,98.7,1,1,1,111,Lost Customers,0,0,VIP Customers
12775.0,24,2,300.08,4,2,2,422,Potential Loyalists,1,0,Loyal Customers
12776.0,303,1,55.5,1,1,1,111,Lost Customers,0,0,VIP Customers
12777.0,93,1,519.45,2,1,3,213,Lost Customers,1,0,Loyal Customers
12778.0,32,3,953.45,4,3,3,433,Potential Loyalists,1,0,Loyal Customers
12779.0,7,10,2538.06,5,5,5,555,Champions,1,0,Loyal Customers
12780.0,234,1,337.4,1,1,2,112,Lost Customers,0,0,VIP Customers
12782.0,10,8,2252.7200000000003,5,5,5,555,Champions,1,0,Loyal Customers
12784.0,165,1,1230.33,2,1,4,214,Cannot Lose Them,0,0,VIP Customers
12785.0,171,3,773.6,1,3,3,133,At Risk,0,0,VIP Customers
12786.0,245,1,728.5,1,1,3,113,Lost Customers,0,0,VIP Customers
12787.0,49,2,395.52,3,2,2,322,Promising Customers,1,0,Loyal Customers
12788.0,99,4,444.9,2,3,2,232,At Risk,1,0,Loyal Customers
12789.0,148,2,181.5,2,2,1,221,Lost Customers,0,0,VIP Customers
12790.0,43,2,238.53,3,2,1,321,Promising Customers,1,0,Loyal Customers
12791.0,9,8,585.15,5,5,3,553,Loyal Customers,1,0,Loyal Customers
12792.0,170,2,413.34,1,2,2,122,Lost Customers,0,0,VIP Customers
12793.0,7,2,471.85,5,2,2,522,Potential Loyalists,1,0,Loyal Customers
12796.0,264,1,381.0,1,1,2,112,Lost Customers,0,0,VIP Customers
12797.0,1,4,531.28,5,3,3,533,Potential Loyalists,1,0,Loyal Customers
12798.0,57,1,1533.89,3,1,4,314,Promising Customers,1,0,Loyal Customers
12799.0,165,1,219.35,2,1,1,211,Lost Customers,0,0,VIP Customers
12800.0,106,3,584.25,2,3,3,233,At Risk,1,0,Loyal Customers
12801.0,113,2,1031.87,2,2,4,224,Cannot Lose Them,1,0,Loyal Customers
12802.0,78,7,1937.84,2,4,4,244,At Risk,1,0,Loyal Customers
12803.0,29,1,1092.81,4,1,4,414,Promising Customers,1,0,Loyal Customers
12804.0,101,2,325.37,2,2,2,222,Lost Customers,1,0,Loyal Customers
12805.0,17,4,1434.95,4,3,4,434,Potential Loyalists,1,0,Loyal Customers
12806.0,71,4,2878.96,2,3,5,235,At Risk,1,0,Loyal Customers
12807.0,18,3,269.95,4,3,2,432,Potential Loyalists,1,0,Loyal Customers
12808.0,4,3,422.45,5,3,2,532,Potential Loyalists,1,0,Loyal Customers
12809.0,189,6,1220.98,1,4,4,144,At Risk,0,0,VIP Customers
12810.0,170,2,534.99,1,2,3,123,Lost Customers,0,0,VIP Customers
12811.0,14,2,519.05,5,2,3,523,Potential Loyalists,1,0,Loyal Customers
12813.0,137,3,1687.8,2,3,4,234,At Risk,1,0,Loyal Customers
12817.0,35,2,524.94,3,2,3,323,Promising Customers,1,0,Loyal Customers
12819.0,94,1,540.52,2,1,3,213,Lost Customers,1,0,Loyal Customers
12820.0,33,9,1705.6,4,5,4,454,Champions,1,0,Loyal Customers
12821.0,247,1,128.07999999999998,1,1,1,111,Lost Customers,0,0,VIP Customers
12823.0,30,13,4742.0,4,5,5,455,Champions,1,0,Loyal Customers
12825.0,157,2,518.63,2,2,3,223,Lost Customers,0,0,VIP Customers
12826.0,1,8,1460.57,5,5,4,554,Champions,1,0,Loyal Customers
12829.0,186,1,92.3,1,1,1,111,Lost Customers,0,0,VIP Customers
12831.0,99,2,236.06,2,2,1,221,Lost Customers,1,0,Loyal Customers
12835.0,54,49,5972.19,3,5,5,355,Loyal Customers,3,0,Churn Risk
12836.0,25,13,3910.22,4,5,5,455,Champions,1,0,Loyal Customers
12837.0,205,1,528.5600000000001,1,1,3,113,Lost Customers,0,0,VIP Customers
12838.0,9,11,2672.3,5,5,5,555,Champions,1,0,Loyal Customers
12839.0,3,16,4344.21,5,5,5,555,Champions,1,0,Loyal Customers
12840.0,73,5,1299.6,2,4,4,244,At Risk,1,0,Loyal Customers
12841.0,5,18,3468.36,5,5,5,555,Champions,1,0,Loyal Customers
12842.0,40,2,799.0,3,2,3,323,Promising Customers,1,0,Loyal Customers
12843.0,18,25,4659.8,4,5,5,455,Champions,1,0,Loyal Customers
12844.0,78,2,322.64,2,2,2,222,Lost Customers,1,0,Loyal Customers
12846.0,318,1,15.58,1,1,1,111,Lost Customers,0,0,VIP Customers
12847.0,23,1,765.36,4,1,3,413,Promising Customers,1,0,Loyal Customers
12848.0,311,1,208.0,1,1,1,111,Lost Customers,0,0,VIP Customers
12849.0,17,4,2032.18,4,3,4,434,Potential Loyalists,1,0,Loyal Customers
12850.0,81,1,330.0,2,1,2,212,Lost Customers,1,0,Loyal Customers
12851.0,113,1,148.95,2,1,1,211,Lost Customers,1,0,Loyal Customers
12853.0,57,7,1846.8,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12854.0,197,6,1618.42,1,4,4,144,At Risk,0,0,VIP Customers
12855.0,8,4,612.84,5,3,3,533,Potential Loyalists,1,0,Loyal Customers
12857.0,72,5,2577.85,2,4,5,245,At Risk,1,0,Loyal Customers
12858.0,19,2,121.08,4,2,1,421,Potential Loyalists,1,0,Loyal Customers
12859.0,94,1,575.1,2,1,3,213,Lost Customers,1,0,Loyal Customers
12860.0,329,1,54.22,1,1,1,111,Lost Customers,0,0,VIP Customers
12861.0,255,1,68.25,1,1,1,111,Lost Customers,0,0,VIP Customers
12862.0,61,2,984.62,3,2,4,324,Promising Customers,1,0,Loyal Customers
12863.0,15,5,2271.35,4,4,5,445,Champions,1,0,Loyal Customers
12864.0,144,1,152.45,2,1,1,211,Lost Customers,0,0,VIP Customers
12865.0,14,2,1755.24,5,2,4,524,Potential Loyalists,1,0,Loyal Customers
12866.0,110,2,668.23,2,2,3,223,Lost Customers,1,0,Loyal Customers
12867.0,33,6,3819.92,4,4,5,445,Champions,1,0,Loyal Customers
12868.0,9,3,640.0,5,3,3,533,Potential Loyalists,1,0,Loyal Customers
12869.0,317,1,337.67,1,1,2,112,Lost Customers,0,0,VIP Customers
12870.0,2,4,1662.05,5,3,4,534,Potential Loyalists,1,0,Loyal Customers
12871.0,75,1,363.38,2,1,2,212,Lost Customers,1,0,Loyal Customers
12872.0,1,12,3055.37,5,5,5,555,Champions,1,0,Loyal Customers
12873.0,33,2,1653.3,4,2,4,424,Potential Loyalists,1,0,Loyal Customers
12874.0,21,3,933.42,4,3,3,433,Potential Loyalists,1,0,Loyal Customers
